"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LUC7L3",2.7815745195624e-09,0.735315826923017,0.658,0.497,8.61092024020932e-05
"BACH2",2.93640916691896e-09,-0.698092847367337,0.34,0.566,9.09024185803103e-05
"SAMD4A",2.96852240186624e-09,-0.685421940620085,0.534,0.757,9.18965479945732e-05
"PNISR",2.99485137213563e-09,0.599720590058404,0.705,0.526,9.27116139272026e-05
"MID1",3.81923876342074e-09,-0.747219200047882,0.4,0.618,0.000118232174399216
"PTGIS",4.3422255516705e-09,0.593984575694113,0.849,0.769,0.000134422276403064
"CDK14",4.40986386006878e-09,0.654044343249546,0.712,0.509,0.000136516155516149
"AC002074.1",4.58624966657312e-09,-0.455497565261928,0.119,0.312,0.000141976530928104
"EGLN1",4.79511099834494e-09,-0.61895893876897,0.253,0.497,0.000148442251175764
"EMP1",4.99087886337966e-09,-0.667357508739381,0.399,0.624,0.000154502636973644
"AIF1L",5.6238307340997e-09,0.806758468955495,0.438,0.208,0.000174096928035524
"LINC00598",5.6677617438299e-09,-0.619404001735987,0.206,0.422,0.000175456900303742
"LHFPL2",6.05770275191432e-09,-0.577669395524359,0.313,0.543,0.000187528304091011
"PDGFRA",7.62118817328375e-09,0.639292262165473,0.733,0.555,0.000235929122280345
"GPCPD1",8.35166388347419e-09,-0.53944539186126,0.351,0.59,0.00025854245884071
"SLC4A4",8.52453761398756e-09,0.705064502242793,0.73,0.526,0.000263894110916213
"SOX6",9.53622463234291e-09,0.735822806087653,0.504,0.272,0.00029521290594344
"MIRLET7BHG",1.02418840915619e-08,0.655528360019713,0.596,0.405,0.000317058005822481
"JUND",1.04164788997008e-08,-0.579931430051487,0.454,0.694,0.000322462937298037
"DHRS3",1.13065822534594e-08,-1.04589220737363,0.217,0.41,0.000350017866820344
"TRIO",1.37098827421306e-08,-0.626337851601916,0.954,0.977,0.000424416840048137
"ARHGAP6",2.11971276297039e-08,0.86284062475201,0.541,0.335,0.000656199480032743
"PABPC1",2.33835930324379e-08,-0.684875101399093,0.388,0.584,0.00072388588950518
"MAPK9",2.90878575976228e-08,-0.881322681697112,0.164,0.353,0.00090047280764961
"AUTS2",2.94746069490285e-08,0.3772357202642,0.982,0.977,0.000912445407321075
"SLC24A3",2.95899842330893e-08,0.850275719430907,0.436,0.225,0.000916017141903744
"NFIB",3.31542349241504e-08,-0.484233057664055,0.867,0.931,0.00102635565054692
"TMSB10",3.55833406052821e-08,-0.593047437823189,0.244,0.457,0.00110155347511772
"SKP1",3.61451831158098e-08,-0.571372486242279,0.226,0.439,0.00111894643371612
"RRBP1",3.81861409337206e-08,-0.587356240859497,0.584,0.769,0.00118212836488519
"FBXL18",4.30857832266289e-08,-0.662579825423341,0.149,0.329,0.00133380659134675
"SLC20A1",4.35670957429961e-08,-0.541010483820234,0.146,0.329,0.00134870658291593
"GTF2B",4.3711754037367e-08,-0.433045700138269,0.141,0.329,0.00135318476973477
"AGAP1",5.01852772667688e-08,0.550591443195562,0.925,0.89,0.00155358562834736
"DDX5",5.52489646313138e-08,-0.621789678162172,0.628,0.769,0.00171034219809158
"LIMD1",5.76533108970982e-08,0.765530589251883,0.48,0.272,0.00178477354544147
"ABL1",5.82729585448871e-08,-0.621318574649351,0.719,0.867,0.00180395597767407
"CLIP1",6.15431682340821e-08,-0.523918332095303,0.6,0.798,0.00190519185902248
"LUM",6.25479846489545e-08,-0.465688732186694,0.164,0.358,0.00193629796077768
"DCN",6.45409165987458e-08,0.519661420240425,0.884,0.798,0.00199799315514737
"CCNL1",6.60861943004275e-08,-0.561223997230358,0.365,0.578,0.00204583031695833
"KDM7A",7.38407607959303e-08,-0.617372750428696,0.294,0.497,0.00228588843195962
"PDGFRB",7.86821444655318e-08,0.798122198308591,0.454,0.254,0.00243576314621947
"PLIN1",7.92815515413966e-08,-0.688638788055964,0.286,0.491,0.00245431899106701
"USP53",8.52488056031417e-08,-0.755387511489288,0.472,0.647,0.00263904727505646
"SH3D19",8.78538297255325e-08,-0.44763841682446,0.838,0.925,0.00271969100681331
"TRPV1",9.75116192481636e-08,0.699395279469239,0.493,0.306,0.0030186671970654
"FAT1",1.11233245620498e-07,-0.56388099629915,0.24,0.445,0.00344344758467375
"SEC16A",1.12612687335879e-07,-0.482352509148436,0.212,0.428,0.0034861509618568
"RIN2",1.16479081432335e-07,0.517976702861658,0.819,0.694,0.00360584292390079
"TIPARP",1.17684603744211e-07,-0.466708006455555,0.153,0.341,0.00364316227810953
"RBM39",1.20405943741438e-07,-0.53547567862624,0.749,0.809,0.0037274068004037
"GALNT17",1.33580584746705e-07,0.714297734022679,0.646,0.457,0.00413525416200374
"LRRC41",1.40383192712412e-07,-0.586643575615804,0.226,0.428,0.00434584249679815
"KLHL13",1.41881999219147e-07,0.825287448712734,0.584,0.405,0.00439224104982712
"LPCAT2",1.50324534871294e-07,-0.881219887864753,0.256,0.451,0.00465359662601064
"ROBO2",1.70661534220938e-07,-0.832016147369075,0.21,0.399,0.00528316911487757
"ZC3HAV1",1.88094558494085e-07,-0.62391925298459,0.343,0.561,0.00582284324730139
"FNDC3B",1.90073161067084e-07,-0.44470622762232,0.867,0.936,0.00588409484715373
"ARHGEF10",2.03942728596989e-07,0.465797445986345,0.795,0.682,0.00631345504917699
"DLGAP2",2.10107185568863e-07,0.7551790487265,0.434,0.225,0.00650428814365531
"DUSP1",2.11206537147279e-07,-0.475803644331382,0.32,0.526,0.00653832077046833
"TLL1",2.32667008110266e-07,-0.72678578730453,0.153,0.324,0.0072026725700695
"DDX60L",2.32918379447972e-07,0.681485354277964,0.507,0.301,0.00721045427257088
"EIF4A1",2.34386060867736e-07,-0.534262836234354,0.265,0.497,0.00725588928628251
"EPAS1",2.54040607659041e-07,-0.55047128166658,0.203,0.393,0.00786433509130092
"TPM3",2.61003023333323e-07,-0.504617472848745,0.221,0.422,0.00807987059332968
"MGP",3.00942149255539e-07,-0.544824448343152,0.333,0.561,0.00931626611450372
"DPP4",3.01991448461704e-07,0.703310262935505,0.335,0.145,0.00934874927002896
"ZNF638",3.12673945277911e-07,0.431139951758181,0.879,0.786,0.00967944732396829
"SOBP",3.20708769331576e-07,0.52121657366714,0.694,0.549,0.0099281813721976
"NT5DC3",3.39552074274226e-07,-0.581548630206204,0.192,0.382,0.0105115135633072
"DDX3X",4.18642330304945e-07,-0.571330246244052,0.34,0.538,0.0129599106192502
"FN1",4.57458593617209e-07,-1.02403189481243,0.537,0.705,0.0141615456826079
"GLUL",5.31667423001106e-07,-0.468134724187409,0.178,0.364,0.0164588284138452
"SORBS1",5.94429313401588e-07,-0.740741398047895,0.407,0.613,0.0184017482549729
"EIF5",6.45731432767644e-07,-0.436989410667331,0.258,0.468,0.0199899079641879
"ST3GAL5",6.53757747109961e-07,0.558166256492908,0.594,0.422,0.0202383785772831
"HAS2",6.79759666452525e-07,-0.888050836385528,0.247,0.428,0.0210433199943708
"PHLDB2",7.42641745741478e-07,-0.583974553047337,0.61,0.769,0.0229899605229189
"TIMP1",7.52168863995668e-07,0.61445762656489,0.317,0.133,0.0232848915227139
"FSTL1",7.61206897847737e-07,-0.452968956665274,0.89,0.931,0.0235646819366724
"PELI2",7.67695549878093e-07,-0.514029418631954,0.285,0.503,0.0237655511375761
"TXLNA",8.24676161871146e-07,-0.408702088070106,0.151,0.324,0.0255294999430451
"OPHN1",8.2518238576701e-07,0.509224273142665,0.783,0.659,0.0255451711161893
"ANKH",9.23440125878224e-07,-0.511908625696499,0.242,0.428,0.0285869359768122
"PLA2G2A",9.51539105995587e-07,0.58553139130775,0.32,0.133,0.0294567961043054
"ZNF331",9.94794034736173e-07,-0.701465583997358,0.199,0.37,0.0307958389333277
"DDX17",1.03389735979412e-06,0.413475137121241,0.824,0.757,0.0320063605671464
"EIF4G1",1.04833972418395e-06,-0.391460951407295,0.215,0.416,0.0324534528415625
"PRDM6",1.10679681939202e-06,0.623443577003257,0.548,0.364,0.0342631091379188
"LRRC8C",1.24789680764853e-06,-0.532606486997415,0.29,0.497,0.0386311414743757
"PLPP3",1.24830921288788e-06,0.551314783329468,0.706,0.555,0.03864390830337
"ABCA1",1.30322804153239e-06,0.495898763585569,0.744,0.642,0.0403440304817181
"DSCAML1",1.35110798537708e-06,-0.577771525900974,0.415,0.63,0.0418262499033182
"TLE1",1.35962144814225e-06,-0.543881374908789,0.299,0.497,0.0420898011701397
"LITAF",1.36835516310012e-06,-0.573166496770134,0.31,0.509,0.0423601707840905
"ARF4",1.38968010829072e-06,-0.595369211061766,0.281,0.451,0.043020327112356
"XYLT1",1.39970479136322e-06,-0.670919777771813,0.475,0.647,0.0433306612262311
"USP15",1.4161339191489e-06,-0.574541468290102,0.45,0.636,0.0438392577350926
"ARHGAP24",1.53873476771213e-06,0.570134171638461,0.776,0.671,0.0476346122040645
"DSTN",1.56687474628388e-06,-0.71677792983844,0.391,0.59,0.0485057415207102
"ACACB",1.61017257601661e-06,-0.947133272438578,0.715,0.821,0.0498461124357462
"ARHGEF3",1.62927394188519e-06,0.451243989298142,0.783,0.613,0.0504374334189398
"TNFAIP2",1.68120536663254e-06,0.526148149511681,0.443,0.249,0.0520450745348435
"IGFBP6",1.81424067100696e-06,-0.685018600657151,0.286,0.48,0.0561634484523624
"FABP4",2.13592554695119e-06,-0.584004805927881,0.367,0.538,0.0661218471569681
"LMCD1",2.13724039517205e-06,-0.736936600345943,0.214,0.382,0.0661625509133412
"STIM1",2.13750011884116e-06,0.568714490952786,0.559,0.37,0.0661705911789657
"SKI",2.14900000286362e-06,-0.533342260967632,0.518,0.705,0.066526593088649
"ITGA11",2.16340404424054e-06,0.453783333640777,0.868,0.798,0.0669724989975544
"RAPGEF2",2.17756201422131e-06,-0.504541536542778,0.363,0.549,0.0674107872742492
"MCL1",2.18189262522094e-06,-0.519295965026866,0.349,0.555,0.0675448499989647
"LTBP4",2.55426080689e-06,0.633523438099619,0.626,0.497,0.0790722517988938
"MEF2D",2.6182959888839e-06,-0.388877862609399,0.224,0.41,0.0810545889278789
"XAF1",2.65446221908501e-06,0.638130757120259,0.423,0.254,0.0821741869162145
"JDP2",2.7084572636256e-06,-0.811987453272114,0.375,0.549,0.0838457115100578
"FARS2",2.86133407385071e-06,0.475720978598771,0.692,0.526,0.0885783189241965
"KAZN",2.97140607143722e-06,0.373604807276922,0.963,0.965,0.0919858177534821
"KALRN",3.0692514281647e-06,-0.817447431662561,0.201,0.364,0.0950148164616945
"CRIP1",3.09755836380597e-06,0.618729514241653,0.34,0.162,0.0958911142683415
"NAALADL2",3.29213843134773e-06,0.445952986622991,0.893,0.821,0.101914729419232
"PITPNC1",3.69053733452569e-06,-0.855205566723308,0.415,0.561,0.114247964264912
"AC124254.2",3.91280977772639e-06,0.669693706770661,0.445,0.26,0.121128852289076
"ADAMTS9",3.98080879457951e-06,-0.474234788157071,0.176,0.347,0.123233897853798
"PDE7B",4.02070544253895e-06,-0.724230366359555,0.27,0.439,0.124468978384678
"RBPJ",4.08149898231935e-06,0.479656170908136,0.774,0.636,0.12635096399566
"SLC16A7",4.10167985345915e-06,-0.583544810697309,0.447,0.601,0.126975703223535
"BIN1",4.17325394302296e-06,0.603367112389904,0.34,0.173,0.129191422314162
"COL4A2",4.2234014629836e-06,-0.60310102565797,0.39,0.578,0.130743839089583
"EDA",4.27521420520857e-06,0.807807298269254,0.367,0.197,0.132347806150642
"AC025159.1",4.28901043577215e-06,0.624520991421563,0.562,0.393,0.132774896060199
"STX12",4.42746185066264e-06,-0.540598464972802,0.386,0.566,0.137060936510963
"GNAI3",4.42965078615848e-06,-0.530486247920587,0.358,0.532,0.137128699387108
"NBEA",4.44250856197779e-06,0.640868794798935,0.4,0.225,0.137526737553147
"KPNA6",4.45834054305488e-06,-0.408740284498897,0.317,0.514,0.13801684819135
"RERG",4.52636498346397e-06,0.642548554474737,0.37,0.197,0.140122680793094
"MT-ND1",4.57800871825961e-06,0.647739844879923,0.427,0.254,0.141721415891163
"ELOVL5",4.57844518908072e-06,-0.443851981847839,0.199,0.37,0.141734927718372
"RABGEF1",4.94413125216058e-06,-0.479810053943101,0.849,0.89,0.153055471173135
"CYTH3",4.98832469082155e-06,-0.472736851180026,0.333,0.532,0.154423567453763
"CLSTN2",5.0780823169082e-06,-0.420528930159967,0.205,0.387,0.157202194284527
"LRMDA",5.26300338395417e-06,-0.506421856496566,0.772,0.85,0.162926795757069
"ELK3",5.28637444669911e-06,-0.602261222278241,0.158,0.306,0.163650293746464
"MT-ND4",5.29082324990631e-06,0.544891764872093,0.511,0.335,0.16378801534735
"FTL",5.34392949795236e-06,-0.516770912292043,0.228,0.405,0.165432025468111
"LPP",5.38372425690213e-06,0.358134066445075,0.954,0.902,0.166663951820919
"INTS6",5.67754571772597e-06,-0.543854370242121,0.335,0.526,0.175759782783643
"HIF1A",5.77054629375542e-06,-0.486222967739992,0.242,0.422,0.178638801615787
"IGF1",5.91886625149688e-06,-0.643198069650179,0.295,0.48,0.183230342547589
"TACC1",6.03720090575885e-06,-0.470752785011165,0.61,0.746,0.186893628439577
"NUFIP2",6.09246225469601e-06,-0.461444428006146,0.461,0.624,0.188604354018624
"SASH1",6.29657464453446e-06,0.467134490869903,0.813,0.723,0.194923061270853
"NAV2",6.33707148041519e-06,-0.780615549562988,0.375,0.538,0.196176721819213
"PHF20",6.40347832700134e-06,-0.514361304061017,0.47,0.642,0.198232478568981
"ABL2",6.56261499681263e-06,-0.636239029512484,0.527,0.671,0.203158872456329
"LINC02384",6.77830378919736e-06,0.763985936310322,0.335,0.173,0.209835950402183
"C3",6.85454371930791e-06,0.590600341031222,0.731,0.566,0.212196109918615
"SP100",7.27253613231378e-06,0.553329874769319,0.6,0.468,0.225135901048038
"YWHAQ",7.41700186078493e-06,-0.477879354993608,0.379,0.566,0.229608126604319
"DAB1",7.54229718093695e-06,-0.439618723002073,0.183,0.347,0.233486893830265
"NAV3",8.06004209777159e-06,-0.493325577030685,0.486,0.665,0.249514723220715
"MT-ND5",8.38911490409168e-06,0.441351782384314,0.441,0.254,0.259701830085966
"ATG7",8.52753638819836e-06,0.504571776220554,0.685,0.549,0.263986943969457
"SRPK2",8.61187946458447e-06,0.471781708318526,0.843,0.769,0.266597952585142
"SMURF2",8.65901913518688e-06,-0.49648885548934,0.856,0.925,0.26805725536798
"AGO2",9.67722147968584e-06,-0.482874567984686,0.473,0.665,0.299577745346635
"NOX4",9.9112253810435e-06,-0.797328522507339,0.434,0.595,0.306821804120964
"DIAPH1",1.03115365872904e-05,-0.654431759709371,0.365,0.514,0.31921423813275
"CYBRD1",1.08043287298555e-05,0.52942227637208,0.578,0.428,0.334469604490137
"EMILIN2",1.08256136041747e-05,-0.452066387096772,0.42,0.607,0.335128520344436
"FAXDC2",1.08591300213347e-05,0.577200465648874,0.402,0.237,0.336166088070459
"LDB2",1.09481125435717e-05,-0.698514288026057,0.578,0.74,0.338920720011348
"WWOX",1.12174346188587e-05,0.393136692520965,0.975,0.925,0.347258123496008
"RNF24",1.16713867834202e-05,0.717778973061158,0.324,0.168,0.361311120654338
"SEPTIN9",1.18632520184204e-05,0.496920988096562,0.416,0.237,0.367250692734241
