"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"C11orf49",0.000297719520976233,0.494967342921253,0.306,0.284,1
"SMYD3",0.000319272825837149,0.472228454733997,0.591,0.641,1
"RAD51B",0.000353661193958231,0.768551678255273,0.572,0.651,1
"ASAP2",0.00039378115920177,0.391311034454506,0.565,0.648,1
"RAP1A",0.000438189731187105,0.513110883892474,0.453,0.489,1
"HDAC4",0.000521017695155222,0.308329098646966,0.635,0.733,1
"ZNF521",0.000535428915284768,0.311707377194572,0.694,0.804,1
"LINC01578",0.000568020624223012,0.532263854756785,0.428,0.464,1
"CORO2B",0.000596440569824297,0.45896914451948,0.328,0.31,1
"DMXL2",0.000598027206124777,0.512584843919333,0.316,0.311,1
"LYST",0.000610625819933151,0.471831133156418,0.393,0.415,1
"CHD1",0.000616542688917545,0.550579296151282,0.476,0.533,1
"SPAG9",0.000691453049767044,0.325303809232063,0.654,0.754,1
"TNRC6C",0.000778246141904753,0.431009840097829,0.533,0.619,1
"AGO2",0.000849084287085282,0.467539513965274,0.426,0.46,1
"ZFHX3",0.000850332759315875,0.399787952796645,0.583,0.668,1
"GNAQ",0.000874700178602912,0.312155782093901,0.639,0.749,1
"MITF",0.000911597894938883,0.544907589932109,0.462,0.499,1
"NOVA1",0.000933034614630329,0.486564921343045,0.458,0.495,1
"WWP1",0.000933084909761015,0.492820144082317,0.387,0.411,1
"FAM168A",0.000963814631378796,0.457273069866749,0.345,0.336,1
"TMEM72-AS1",0.000991592519334977,0.306772156936161,0.242,0.351,1
"TPT1",0.00104632617886737,0.483218576729272,0.427,0.468,1
"PDS5B",0.00125308859221653,0.479677253607486,0.416,0.452,1
"TRAF3IP2-AS1",0.001591397974576,0.556163752485205,0.421,0.455,1
"FILIP1L",0.00193459729142437,0.470406983364724,0.361,0.377,1
"RUFY3",0.00225329205177424,0.38278479237348,0.505,0.577,1
"HIVEP1",0.00231536492601816,0.485638958292754,0.396,0.42,1
"SFPQ",0.00260912227332671,0.315074347916151,0.607,0.711,1
"FAM49A",0.00277860872168046,0.540274785864536,0.335,0.344,1
"STXBP1",0.00283006321798266,0.47252967709052,0.465,0.53,1
"UACA",0.00311878081815296,0.445187382697465,0.447,0.49,1
"PDCD4",0.00312370811879514,0.454845316191163,0.393,0.423,1
"RPS6KA3",0.00315718455060755,0.57434827261335,0.329,0.33,1
"RABGAP1L",0.00320102375494545,0.445935180529,0.501,0.562,1
"PCNX4",0.0032445052900913,0.474973368038812,0.344,0.351,1
"RAB28",0.00347931509536534,0.526934664019276,0.321,0.324,1
"NT5C2",0.00365507301275733,0.38749796514858,0.555,0.638,1
"ABL1",0.00368905500890931,0.435059362936975,0.664,0.802,1
"PTPN9",0.00380248299762262,0.556210632095658,0.305,0.301,1
"OSBPL9",0.00385159263309157,0.327981371715224,0.532,0.619,1
"XPR1",0.00443640017045696,0.409144600640214,0.393,0.417,1
"SP100",0.00467491371922213,0.46030851207781,0.351,0.364,1
"NUFIP2",0.00492138670214951,0.465006526609712,0.602,0.705,1
"GAB1",0.00573848676879257,0.374343109245576,0.551,0.621,1
"FOXP2",0.00615429483526363,0.368750099642678,0.742,0.864,1
"ADAMTS9-AS2",0.00625569683873627,0.395097859972478,0.532,0.578,1
"TP53BP1",0.00648763635362479,0.417178373966997,0.342,0.354,1
"ECE1",0.00676280999082986,0.342736641686801,0.603,0.687,1
"BABAM2",0.00746588498386689,0.392990316262791,0.483,0.538,1
"PIAS1",0.00758846253526632,0.327448251212621,0.522,0.607,1
"PKD2",0.00802418744079405,0.465994230415225,0.444,0.509,1
"PELI2",0.00815718026122462,0.556552246650674,0.376,0.395,1
"SRSF3",0.00831083351646207,0.472535768565396,0.355,0.38,1
"GNB1",0.008414752667843,0.325255604303055,0.603,0.705,1
"STK24",0.00907390381571521,0.498573049843073,0.447,0.495,1
"RPLP1",0.0100206040070974,0.461571284743803,0.299,0.301,1
"WDR27",0.0126882351080363,0.406195647136202,0.36,0.383,1
