"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NLGN1",0.53259022154867,-0.44307350849519,0.463,0.431,1
"ELMO1",0.53602173655918,-0.330839135011907,0.493,0.37,1
"CAPRIN1",0.566358937636893,-0.346237379003821,0.313,0.297,1
"SOBP",0.56725752415923,-0.408374157747374,0.433,0.332,1
"MEIS1",0.582494083990896,-0.426380627438636,0.672,0.589,1
"ADD3",0.592760735503377,-0.323968811921821,0.716,0.589,1
"C1S",0.59671101955426,-0.410068916045073,0.418,0.38,1
"CORO2B",0.597795573125232,-0.314355930498945,0.403,0.313,1
"ADAM17",0.604281899659697,-0.335128814030265,0.522,0.448,1
"AFDN",0.618025254060765,-0.318007772540223,0.403,0.373,1
"ABCA8",0.622135344283173,-0.516620899828395,0.851,0.782,1
"AC016831.7",0.62466192061662,-0.306063440112763,0.463,0.42,1
"MYOF",0.627687397198458,-0.365065182902632,0.313,0.31,1
"DPYSL2",0.630033346853682,-0.356023843867747,0.373,0.302,1
"FYN",0.637072443057769,-0.392300138072483,0.701,0.552,1
"EPB41L3",0.639446357080241,-0.489483831296769,0.507,0.497,1
"TGFBR2",0.645838135950386,-0.342753961955235,0.672,0.569,1
"TERF2IP",0.652832332630062,-0.30162883469412,0.313,0.307,1
"COA1",0.654203701315384,-0.339430169496711,0.463,0.408,1
"STK38",0.667203341893439,-0.311096591370601,0.358,0.328,1
"ZHX3",0.71098712804162,-0.30717377531147,0.373,0.344,1
"RANBP2",0.715225721727077,-0.324523386836287,0.433,0.391,1
"SASH1",0.723473001177748,-0.339732117843683,0.672,0.54,1
"DST",0.725926112126458,-0.439727523706728,0.731,0.577,1
"ZEB1",0.731792218800417,-0.313545708560433,0.851,0.768,1
"TMEM117",0.732984797348738,-0.331692606930604,0.403,0.355,1
"ANKRD36",0.763333514465748,-0.317371515161146,0.358,0.319,1
"KCND2",0.77711581109622,-0.580632789760748,0.731,0.584,1
"CDK14",0.77894628798,-0.359535555112172,0.627,0.482,1
"FSTL1",0.779706520934886,-0.340720250029455,0.776,0.645,1
"PMEPA1",0.783566795084504,-0.303902450701963,0.403,0.318,1
"FGFR1",0.824266708445121,-0.317818277868943,0.791,0.652,1
"TBC1D12",0.863830622733807,-0.300235100765601,0.358,0.293,1
"CARMIL1",0.875538157545993,-0.312679084780891,0.388,0.33,1
"MEIS2",0.879340987932769,-0.358703289922357,0.776,0.631,1
"PRKCA",0.881040661219903,-0.338559293946831,0.627,0.53,1
"GPC6",0.882851321086935,-0.406588710390007,0.672,0.547,1
"AC007319.1",0.886362258061332,-0.375584567923586,0.358,0.325,1
"LHFPL6",0.898935437200429,-0.395003443524683,0.866,0.728,1
"FAM49A",0.906549888624494,-0.300082816142526,0.388,0.34,1
"GXYLT2",0.908601911141911,-0.331530419798491,0.388,0.33,1
"PLCB1",0.915391294688911,-0.31079423598196,0.806,0.666,1
"IQCN",0.92401848523354,-0.334122459291847,0.612,0.529,1
"CEP128",0.936995082580442,-0.551408206803515,0.403,0.346,1
"ZFP36L2",0.94466651644145,-0.35231953980882,0.433,0.354,1
"HIF1A",0.966595822261858,-0.307517296946349,0.478,0.401,1
