"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LAMB1",5.57365247928313e-19,0.73478916153649,0.533,0.52,1.72543559801168e-14
"NCOA1",6.30800184493787e-19,0.378798571253927,0.803,0.873,1.95276813113742e-14
"WIPF1",7.24248624414667e-19,0.675850713630828,0.466,0.402,2.24205646660049e-14
"GULP1",8.84737098658487e-19,0.666932183905382,0.393,0.306,2.73888063631708e-14
"CFD",1.00292643833179e-18,0.694363658036997,0.585,0.617,3.10475937514372e-14
"ABCA1",1.10874543852939e-18,-0.369730812999106,0.616,0.799,3.43234325405543e-14
"VAV2",1.21011884550531e-18,0.607147061179399,0.308,0.205,3.7461649100308e-14
"PDZRN3",1.40219266099623e-18,-0.325366568122263,0.5,0.701,4.34076782064603e-14
"NBEA",1.66230309246938e-18,0.734394429617122,0.398,0.326,5.14599168335745e-14
"KLF7",3.53743600301626e-18,0.69092256315684,0.461,0.404,1.09508406345375e-13
"PXDNL",8.84302031686417e-18,-0.646317031157579,0.227,0.374,2.73753379949164e-13
"EDA",9.14317963109618e-18,0.790551754010073,0.342,0.245,2.83045411839844e-13
"SPTAN1",1.30800441652388e-17,0.628831915443921,0.55,0.521,4.04918927223296e-13
"PIK3R1",3.38167903005493e-17,0.670202295017809,0.441,0.388,1.0468663773341e-12
"ZHX2",3.91719085462916e-17,0.565089003489623,0.573,0.561,1.21264477286755e-12
"ARHGAP24",4.89163367629691e-17,0.523509377367252,0.797,0.843,1.51430303717123e-12
"REV3L",5.43127747391341e-17,0.461323871597448,0.771,0.829,1.68136056759937e-12
"ARHGEF3",5.72420261575411e-17,0.465919940673279,0.507,0.424,1.772041403759e-12
"NLGN1",8.26367776401258e-17,0.718193301583114,0.444,0.381,2.55818672540537e-12
"EMP2",1.08164820082455e-16,0.582258308779767,0.313,0.225,3.34845833529255e-12
"FAM118A",1.33804920592453e-16,0.61764368770688,0.316,0.233,4.14219892678057e-12
"NUAK1",1.83337397053373e-16,0.667491136100818,0.309,0.221,5.67557580058126e-12
"ELF2",5.29792882837815e-16,0.355991199234867,0.745,0.798,1.64007982740102e-11
"ITPR3",8.24956545749369e-16,0.40899917623471,0.302,0.195,2.55381797867632e-11
"COL6A1",1.03636417184219e-15,0.628268105187156,0.386,0.321,3.20827256677185e-11
"MBP",1.09689994189618e-15,0.494410570766555,0.355,0.253,3.395673150128e-11
"CADPS2",1.30606357658332e-15,0.556093068303415,0.502,0.477,4.04318101402898e-11
"ADAMTS9-AS2",1.88896653522977e-15,0.5405512866805,0.565,0.535,5.84767370311081e-11
"KLF12",2.20014713230657e-15,0.487951856454219,0.367,0.268,6.81099547748144e-11
"AC119674.1",2.30824850384731e-15,0.6517994812944,0.352,0.258,7.14564489336012e-11
"CARMIL1",2.3308305952831e-15,0.408758295820585,0.558,0.5,7.2155522738179e-11
"PSD3",2.45082032722547e-15,0.417227769188598,0.512,0.432,7.58700448699188e-11
"PDE7B",2.46461691359685e-15,0.658994311476702,0.342,0.264,7.62971457942177e-11
"PCNX2",3.5824236737585e-15,0.423413254898722,0.352,0.244,1.10901089668542e-10
"PALLD",4.04745962435851e-15,0.57221369727153,0.379,0.295,1.25297207591266e-10
"CBLB",4.15156333645247e-15,0.493849628792746,0.688,0.734,1.28519946206559e-10
"SEMA3C",4.95025554451478e-15,-0.635380233793822,0.748,0.894,1.53245060891544e-10
"TACC1",6.35417350241852e-15,0.478964522182185,0.645,0.685,1.9670614911437e-10
"ELMO1",8.89636779341172e-15,0.39357705459177,0.478,0.387,2.75404857780647e-10
"TRANK1",1.09021170661208e-14,0.553374296915662,0.348,0.266,3.374968380159e-10
"CTBP2",1.88990496441313e-14,0.627692504172797,0.513,0.499,5.85057879833373e-10
"TCF12",2.79035053758502e-14,0.306230089221,0.812,0.88,8.63808815920194e-10
"DOCK1",3.38452105998472e-14,0.340487177640564,0.725,0.785,1.04774618453947e-09
"C1R",3.7994084732513e-14,0.513255675953617,0.33,0.247,1.1761828810644e-09
"CTTNBP2",3.85808239339149e-14,0.693499590704496,0.323,0.259,1.1943465665222e-09
"ST3GAL5",5.2652046655418e-14,0.490056594199215,0.439,0.364,1.62994940831178e-09
"JUNB",6.99106584254846e-14,0.569883096484439,0.346,0.276,2.16422425287773e-09
"PLAC9",8.14340282849875e-14,0.557669148370417,0.434,0.375,2.52095321361836e-09
"BMERB1",8.7822469112083e-14,0.617295598505965,0.504,0.463,2.71872017630275e-09
"TBC1D12",1.24746034876412e-13,-0.367154749831595,0.323,0.483,3.8617630016691e-09
"GNAQ",1.31171927502123e-13,0.396354620588142,0.679,0.76,4.06068935968323e-09
"CLIC4",1.44136952950932e-13,0.717105665119026,0.484,0.469,4.462047652502e-09
"IL1R1",1.76421280749447e-13,0.633984718762202,0.333,0.271,5.46147358816064e-09
"NNMT",2.66237932931889e-13,0.592337765629398,0.418,0.368,8.24192768977249e-09
"C20orf194",2.91085320778151e-13,0.452777650555742,0.583,0.587,9.01112827532923e-09
"ADCY9",4.03128576344445e-13,0.580408174677345,0.402,0.338,1.2479651337895e-08
"GLI3",4.41927730638166e-13,0.379789283106928,0.626,0.627,1.36807567573657e-08
"ATP11A",5.66046245054139e-13,0.481267467056517,0.423,0.359,1.7523093608141e-08
"NAV3",9.08454599628774e-13,0.51671348541439,0.595,0.574,2.8123029040708e-08
"KSR1",1.04216220946677e-12,0.538933457432121,0.333,0.261,3.22622155184628e-08
"SLC38A2",1.06870617536421e-12,0.597917443400093,0.43,0.392,3.30839370707499e-08
"ZBTB7C",1.33490109851389e-12,-0.371840692896511,0.213,0.337,4.13245333066945e-08
"NDRG1",1.53673902833497e-12,0.685086472786845,0.396,0.355,4.75728301001657e-08
"SOBP",2.30385714323964e-12,0.434952441460339,0.577,0.571,7.13205055832695e-08
"SGCD",2.4506213653871e-12,0.523779853378114,0.585,0.609,7.58638856082885e-08
"SMG6",2.6525826649371e-12,0.482443508971127,0.687,0.769,8.21160015584577e-08
"ST3GAL2",2.65746853060106e-12,0.572236929642604,0.306,0.239,8.22672533018172e-08
"FAM110B",3.38480581299896e-12,0.552553071055753,0.368,0.304,1.04783433553009e-07
"TFPI",3.78242969021767e-12,0.483496825826897,0.339,0.266,1.17092675920068e-07
"TGFBR2",4.62262341018999e-12,0.532681312989242,0.519,0.518,1.43102552909252e-07
"EEF1A1",6.22798579261772e-12,0.41948646960835,0.629,0.691,1.92799756182067e-07
"TRHDE",9.15421008522442e-12,-0.301370461953772,0.453,0.598,2.83386881608292e-07
"MVP",1.29679267035383e-11,0.5318275233537,0.345,0.285,4.01448106961436e-07
"LIFR",1.91657823121352e-11,0.827689021880105,0.408,0.393,5.93315123036769e-07
"TNRC18",2.36089715518881e-11,0.428260173001927,0.634,0.7,7.308629323318e-07
"TRPC1",3.17472960096526e-11,0.522719581339738,0.402,0.364,9.82801042570816e-07
"MAGI3",3.62787796342349e-11,0.492951066719135,0.559,0.588,1.12308218113701e-06
"AL445426.1",5.24600395727336e-11,0.546968328309883,0.461,0.43,1.62400544505311e-06
"MAN1A1",6.2004195390047e-11,0.382402568747727,0.669,0.719,1.91946387668968e-06
"SPACA6",6.25738916097819e-11,0.563053772215267,0.335,0.281,1.93709996256402e-06
"CTNNB1",6.47661416238004e-11,0.588703424764555,0.435,0.418,2.00496544624799e-06
"TPT1",9.11006728815104e-11,0.486184558682429,0.539,0.563,2.82020353039292e-06
"ABR",1.01785607747745e-10,0.347006135320237,0.495,0.453,3.15097705904693e-06
"ZMIZ1",1.49478552124493e-10,0.448594426740284,0.596,0.639,4.62740753811793e-06
"KLF2",1.50271172425293e-10,0.572332541753166,0.326,0.271,4.6519446847698e-06
"ST3GAL4",2.43799982796656e-10,0.597457417942827,0.306,0.253,7.54731606743606e-06
