"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CRK",4.86002460255397e-21,-0.353980576334771,0.326,0.665,1.50451781621263e-16
"ITIH5",6.48437107282576e-21,-0.403342750924697,0.507,0.827,2.00736675301467e-16
"FHOD3",9.94509518398818e-21,-0.456992149862131,0.184,0.419,3.07870311610722e-16
"ZNF518A",1.09098804013828e-20,-0.309934568656792,0.33,0.67,3.37737167585609e-16
"ZBTB16",1.11763377898981e-20,-0.544267848892885,0.505,0.808,3.45985888961877e-16
"DAAM1",1.2871967877544e-20,-0.4188690987117,0.436,0.773,3.9847750958513e-16
"TRIO",1.49522504412145e-20,-0.447978847373743,0.779,0.93,4.62876816908677e-16
"PRKAG2",1.59264994042776e-20,-0.671206788351271,0.62,0.868,4.93036642058221e-16
"EPB41L4A",1.8425701470405e-20,-0.300550471135889,0.244,0.532,5.70404440419329e-16
"SLIT3",1.85699547773629e-20,0.854933523883506,0.856,0.889,5.74870090042823e-16
"ADAMTSL3",1.86657416561311e-20,1.4437683654796,0.607,0.535,5.77835364448849e-16
"COL1A2",1.97566798329646e-20,0.921264315447448,0.633,0.586,6.11607537589084e-16
"INSR",2.41640193357687e-20,-0.431153998054058,0.682,0.916,7.48045546577392e-16
"SLC20A2",5.57615413758444e-20,-0.310100327663092,0.36,0.703,1.72621003637202e-15
"RABGEF1",6.85533011139455e-20,-0.371743063625063,0.591,0.886,2.12220454258441e-15
"DLG1",2.0606071357745e-19,-0.386589734519887,0.5,0.827,6.37902151021713e-15
"DOCK4",2.33699160192722e-19,0.786043842025202,0.754,0.781,7.23462490208609e-15
"EGR1",2.35719842254024e-19,0.97429001750539,0.638,0.635,7.29717915665782e-15
"COL4A1",2.50138178286374e-19,-0.459710212945525,0.591,0.854,7.74352758521129e-15
"PRKN",2.77055292493299e-19,-0.371297119523625,0.708,0.916,8.57680068971506e-15
"GSE1",3.42601820480756e-19,-0.443839920004352,0.599,0.876,1.06059245566228e-14
"TTC28",4.27140430086594e-19,0.543769757713756,0.879,0.949,1.32229862941907e-14
"YAP1",4.27673333938876e-19,-0.461834166307709,0.544,0.832,1.32394833987458e-14
