"","gene","p_val","p_val_adj","avg_log2FC","cluster"
"ELP4.1","ELP4",9.46273882143695e-05,1,-6.22590608849708,"3"
"YIPF4.2","YIPF4",9.46669593733115e-05,1,-0.638882821479489,"3"
"SETD2.2","SETD2",9.54641161194663e-05,1,-23.6159754191099,"3"
"RFTN1.2","RFTN1",9.59591656373038e-05,1,-61.748581603296,"3"
"HEATR1.1","HEATR1",9.78664732908426e-05,1,-1.6697727593318,"3"
"RYBP.1","RYBP",9.8743710485595e-05,1,-11.410706731318,"3"
"FBXW4.2","FBXW4",9.96640120166629e-05,1,-0.992544141997747,"3"
"MANBA.2","MANBA",0.000101518074280678,1,-32.7531596657416,"3"
"TNPO3.2","TNPO3",0.000105094073657041,1,-3.31597154881777,"3"
"ABCD2.2","ABCD2",0.00010544283469994,1,-29.1731488812607,"3"
"EZH1.2","EZH1",0.00010748799214229,1,-4.33672646723385,"3"
"MTPN.1","MTPN",0.000107616362392067,1,-5.42076551964498,"3"
"ERP44.1","ERP44",0.000108190133142226,1,-8.77709554575087,"3"
"SNX2.2","SNX2",0.000109862560959165,1,-13.6064246250615,"3"
"CDKAL1.1","CDKAL1",0.000112542335604799,1,-12.830030352293,"3"
"ZNHIT6.3","ZNHIT6",0.000114358780427281,1,-2.66074011918333,"3"
"PDE8A.3","PDE8A",0.000117041341771041,1,-28.7871436603812,"3"
"NCOA7.3","NCOA7",0.000118074454095839,1,-54.8684629033892,"3"
"XRN2.3","XRN2",0.000123139464150852,1,-5.34712349254368,"3"
"RAP1B.3","RAP1B",0.00012587276169306,1,-36.7333505494818,"3"
"TMF1.3","TMF1",0.000126140219308893,1,-1.80234806864778,"3"
"CGGBP1.1","CGGBP1",0.000127411886457438,1,-7.30424379057733,"3"
"DENND1A.3","DENND1A",0.000138806957672268,1,-30.2280439872821,"3"
"ARRDC3.1","ARRDC3",0.000140602597702521,1,-30.6054629839289,"3"
"CLNS1A.3","CLNS1A",0.000147011881955023,1,-0.98844899263693,"3"
"RALA.2","RALA",0.000147924950342222,1,-9.44548764824413,"3"
"GALNT11.2","GALNT11",0.000149285080985946,1,6.64946450159725,"3"
"DDX17.2","DDX17",0.000149378445204293,1,-10.208628086265,"3"
"AFTPH.3","AFTPH",0.000150941885954098,1,-40.4792939325202,"3"
"WDR26.1","WDR26",0.000151194557741081,1,-3.31297450534654,"3"
"G2E3.2","G2E3",0.000152942533388083,1,-4.47148270527108,"3"
"ZNF827.3","ZNF827",0.000153974473244322,1,-5.93891136358485,"3"
"MED27.1","MED27",0.000157131285643362,1,7.5992236518544,"3"
"NUP98.2","NUP98",0.00015822959560785,1,-35.6052501249787,"3"
"SCAPER.2","SCAPER",0.000160106308376847,1,-8.52141093798843,"3"
"IFNAR1.2","IFNAR1",0.000161132220013978,1,-0.496661254270112,"3"
"PUM1.2","PUM1",0.000162302721549285,1,-6.02162699366216,"3"
"VPS4B.1","VPS4B",0.000162396261160201,1,-0.890857104878342,"3"
"RBFOX2.3","RBFOX2",0.000162780532049803,1,-31.8027181197458,"3"
"SOD2.3","SOD2",0.000162980507362522,1,-101.541680132927,"3"
"TMEM165.3","TMEM165",0.000164388313386908,1,-9.92450484960203,"3"
"MAP4K5.2","MAP4K5",0.000164544186828765,1,-25.2389855857462,"3"
"WRN.2","WRN",0.00016479271713972,1,-3.66469125454321,"3"
