"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AC037487.1",0.00716145666180129,-0.00306708897695987,0.001,0.008,1
"AC125437.1",0.00716145666180129,-0.00174712152269046,0.001,0.008,1
"TSSK6",0.00716145666180129,-0.00502750883841987,0.001,0.008,1
"AJ011931.2",0.00716145666180129,-0.00240536561012503,0.001,0.008,1
"CDC45",0.00716145666180129,-0.00656330403380296,0.001,0.008,1
"AL451048.1",0.00716145666180129,-0.0048100670075624,0.001,0.008,1
"SH3GL2",0.00716166206312857,0.00255320495232882,0.012,0.03,1
"TAGAP",0.00716350861550325,-0.0394036469001024,0.002,0.011,1
"AL137779.2",0.00716350861550325,-0.0339581057635884,0.002,0.011,1
"AC103858.1",0.00717584016428934,-0.0444127686501978,0.002,0.011,1
"FAM210B",0.0071758417171273,0.00148146237338709,0.033,0.062,1
"NUDT18",0.00718819076410105,-0.0355378070023963,0.002,0.011,1
"LINC00266-4P",0.00718819076410105,-0.0303099896889028,0.002,0.011,1
"CDC42EP4",0.00718874043373414,0.383551513712391,0.306,0.465,1
"XDH",0.00721294921824376,-0.0135776915084729,0.002,0.011,1
"PRKAB1",0.00721501649961456,-0.0177179384958261,0.024,0.049,1
"SNHG12",0.00722038749872242,0.036179642192945,0.037,0.068,1
"DMKN",0.00722299528510459,0.00769086919230404,0.019,0.041,1
"MIR3976HG",0.00722535712336244,-0.0315624661156879,0.002,0.011,1
"FNIP1",0.00723132284930729,0.058766136716293,0.546,0.792,1
"LINC01033",0.0072377841810821,-0.0126740089024785,0.002,0.011,1
"TMEM86A",0.0072377841810821,-0.0118236573974525,0.002,0.011,1
"AL583810.1",0.0072377841810821,-0.0228947428707073,0.002,0.011,1
"AP000350.7",0.0072377841810821,-0.0166968704497947,0.002,0.011,1
"GBP5",0.00725023041686309,-0.0136404238596621,0.002,0.011,1
"AC073046.3",0.00725023041686309,-0.0105216278653056,0.002,0.011,1
"GABRR1",0.00725023041686309,-0.02157159992596,0.002,0.011,1
"AC011625.1",0.00725023041686309,-0.0134737267200057,0.002,0.011,1
"LINC02463",0.00725023041686309,-0.0158021788379923,0.002,0.011,1
